"timestamp","page_group","geo_cc","geo_rg","geo_city","geo_org","geo_netspeed","user_agent_family","user_agent_major","user_agent_os","user_agent_osversion","user_agent_model","referrer","page_index","navigation_type","params_dom_sz","params_dom_ln","params_dom_script","params_dom_img","timers_t_done","timers_t_resp","timers_t_page","tcp_windows","nodes_1000","scripts_10","imgs_10","datetime","dt_year","dt_month","dt_week","dt_day","dt_hour","dt_6hour","dt_12hour","dt_minute","dt_5min","dt_15min","dt_20min","dt_30min"
1409608799971,"class","DE","DE:: 06","DE:: 06:: Hanover","Vodafone DSL","Cable/DSL","Safari","Safari:: 7","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","11th+ Page","cookie",680844,4515,158,56,5568,2571,2997,"32 TCP Windows","5K Nodes","160 Scripts","60 Images","2014-09-01T21:59:59.971",2014,9,36,1,21,18,12,59,55,45,40,30
1409608799976,"category","US","US:: NC","US:: NC:: Fleetwood","SkyBest Communications","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.bing.com","3rd-10th Page","navigation",395540,1734,118,23,7853,435,7418,"16 TCP Windows","2K Nodes","120 Scripts","40 Images","2014-09-01T21:59:59.976",2014,9,36,1,21,18,12,59,55,45,40,30
1409608799994,"yourcart","US","US:: CA","US:: CA:: Yorba Linda","EarthLink","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",399863,1755,117,9,2662,1448,1214,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T21:59:59.994",2014,9,36,1,21,18,12,59,55,45,40,30
1409608800076,"EasyCheckout - AddAddress","US","US:: NC","US:: NC:: Durham","Time Warner Cable","Cable/DSL","Chrome","Chrome:: 36","Windows 7",NA,NA,NA,"11th+ Page","manual",199064,540,105,8,1605,NA,NA,"8 TCP Windows","1K Nodes","120 Scripts","20 Images","2014-09-01T22:00:00.076",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800126,"searchresults","US","US:: CO","US:: CO:: Parker","CenturyLink","Corporate","IE","IE:: 9","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",553645,5266,140,31,6674,3230,3444,"32 TCP Windows","6K Nodes","140 Scripts","40 Images","2014-09-01T22:00:00.126",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800140,"skuskuset","US","US:: VA","US:: VA:: Roanoke","Cox Communications","Cable/DSL","Firefox","Firefox:: 31","Windows 8.1",NA,NA,"www.staples.com","3rd-10th Page","navigation",508961,2776,147,36,2289,312,1977,"32 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:00.14",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800162,"skuskuset","US",NA,NA,"Comcast Cable","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.google.com","Entry Page","navigation",465487,2216,148,18,11595,1381,10214,"16 TCP Windows","3K Nodes","160 Scripts","20 Images","2014-09-01T22:00:00.162",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800182,"dailydealstemplate","US","US:: CA","US:: CA:: San Francisco","Verizon Internet Services","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","2nd Page","navigation",913327,4350,109,223,5019,497,4522,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:00.182",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800199,"yourcart","US",NA,NA,"Hughes Network Systems","Cable/DSL","IE","IE:: 10","Windows 8",NA,NA,"www.staples.com","11th+ Page","navigation",369040,2231,109,19,31749,7567,24182,"16 TCP Windows","3K Nodes","120 Scripts","20 Images","2014-09-01T22:00:00.199",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800255,"skuskuset","US",NA,NA,"Fuse Internet Access","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.google.com","Entry Page","navigation",509397,2572,149,22,9041,1991,7050,"32 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:00.255",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800291,"skuskuset","US","US:: LA","US:: LA:: Shreveport","Comcast Cable","Cable/DSL","Chrome","Chrome:: 36","Windows 8.1",NA,NA,NA,"11th+ Page","navigation",467625,2224,146,17,4844,2348,2496,"16 TCP Windows","3K Nodes","160 Scripts","20 Images","2014-09-01T22:00:00.291",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800304,"home","US","US:: CA","US:: CA:: Martinez","AT&T U-verse","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,NA,"Entry Page","navigation",444638,2415,113,49,14059,1004,13055,"16 TCP Windows","3K Nodes","120 Scripts","60 Images","2014-09-01T22:00:00.304",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800311,"skuskuset","US","US:: NY","US:: NY:: Bay Shore","Verizon FiOS","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",454433,2173,147,17,7482,1171,6311,"16 TCP Windows","3K Nodes","160 Scripts","20 Images","2014-09-01T22:00:00.311",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800331,"searchresults","US","US:: CA","US:: CA:: Cupertino","Comcast Cable","Cable/DSL","IE","IE:: 11","Windows 8.1",NA,NA,"www.staples.com","3rd-10th Page","navigation",516460,3226,144,49,4169,2018,2151,"32 TCP Windows","4K Nodes","160 Scripts","60 Images","2014-09-01T22:00:00.331",2014,9,36,1,22,18,12,0,0,0,0,0
1409608800384,"dailydealstemplate","US","US:: NY","US:: NY:: Oceanside","Optimum Online","Cable/DSL","Safari","Safari:: 5","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","2nd Page","cookie",912690,4379,109,223,4505,NA,NA,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:00.384",2014,9,36,1,22,18,12,0,0,0,0,0
